file	recordId	recordNumber	recordIndex	byteOffset	fieldIndex	tag	sourceFieldNumber	fieldByteOffset	indicatorIndex	subfieldIndex	problemByteOffset	reportLine	message
rsl01_z00.dat	000499416	429917	429916	558519749	10	044	12	558520073				7	Поле 044 не содержит кода подполя.
rsl01_z00.dat	000519618	445560	445559	578738405	10	044	12	578738723				8	Поле 044 не содержит кода подполя.
rsl01_z00.dat	000544002	464380	464379	603032096	9	044	11	603032389				10	Поле 044 не содержит кода подполя.
rsl01_z00.dat	000608007	521402	521401	692681153	14	246	16	692681845				11	Поле 246 не содержит кода подполя.
rsl01_z00.dat	000952914	936042	936041	1254135273	9	044	11	1254135560				15	Поле 044 не содержит кода подполя.
rsl01_z00.dat	002086634	2044195	2044194	2896021104	9	044	11	2896021404				55	Поле 044 не содержит кода подполя.
rsl01_z00.dat	004235406	3872994	3872993	5396417325	12	600	14	5396418132				246	Поле 600 не содержит кода подполя.
rsl01_z00.dat	004427345	4138350	4138349	5810633088	6	044	8	5810633297				259	Поле 044 не содержит кода подполя.
rsl01_z00.dat	004437031	4144841	4144840	5817939184	7	044	9	5817939400				260	Поле 044 не содержит кода подполя.
rsl01_z00.dat	004474163	4168190	4168189	5843160291	7	044	9	5843160507				261	Поле 044 не содержит кода подполя.
rsl01_z00.dat	004542755	4195293	4195292	5882265156	13	362	15	5882265855				265	Поле 362 не содержит кода подполя.
rsl01_z00.dat	004909419	4537317	4537316	6410432793	9	300	11	6410433225				289	Поле 300 не содержит кода подполя.
rsl01_z00.dat	004908701	4538706	4538705	6412261997	10	300	12	6412262557				290	Поле 300 не содержит кода подполя.
rsl01_z00.dat	004908923	5082305	5082304	7222093346	9	300	11	7222093787				491	Поле 300 не содержит кода подполя.
rsl01_z00.dat	009725777	9136346	9136345	12875269160	4	017	6	12875269311				1469	Поле 017 не содержит кода подполя.
rsl01_z00.dat	009964566	9365886	9365885	13266687693	16	952	24	13266688906				1478	Поле 952 не содержит кода подполя.
rsl01_z00.dat	009964566	9365886	9365885	13266687693	17	952	25	13266688926				1478	Поле 952 не содержит кода подполя.
rsl01_z00.dat	009964566	9365886	9365885	13266687693	18	952	26	13266688946				1478	Поле 952 не содержит кода подполя.
rsl01_z00.dat	010216615	9597202	9597201	13657631089	19	500	21	13657632050				1492	Поле 500 не содержит кода подполя.
rsl01_z00.dat	004512015	10392884	10392883	15039207601	13	362	15	15039208393				1658	Поле 362 не содержит кода подполя.
rsl01_z00.dat	004911332	10428005	10428004	15105651197	11	300	13	15105651883				1660	Поле 300 не содержит кода подполя.
rsl01_z00.dat	015163431	10490656	10490655	15226363450	12	111	14	15226363856				1665	Поле 111 не содержит кода подполя.
rsl01_z00.dat	011197807	10577952	10577951	15387285676	11	044	13	15387286035				1678	Поле 044 не содержит кода подполя.
rsl01_z00.dat	011183074	10904765	10904764	15975608019	9	044	11	15975608294				1741	Поле 044 не содержит кода подполя.
rsl01_z00.dat	011630161	11084024	11084023	16317426357	4	017	6	16317426508				1790	Поле 017 не содержит кода подполя.
rsl01_z00.dat	011182909	11178490	11178489	16486451764	9	044	11	16486452040				1817	Поле 044 не содержит кода подполя.
rsl01_z00.dat	011768442	11363980	11363979	16820207851	11	250	13	16820208253				1822	Поле 250 не содержит кода подполя.
rsl01_z00.dat	015163434	11376879	11376878	16844056525	12	111	14	16844056952				1824	Поле 111 не содержит кода подполя.
rsl01_z00.dat	011819269	11525218	11525217	17138423627	9	044	11	17138423936				1885	Поле 044 не содержит кода подполя.
rsl01_z00.dat	011821779	11526561	11526560	17140695044	8	044	10	17140695309				1886	Поле 044 не содержит кода подполя.
rsl01_z00.dat	012218967	11861032	11861031	17697636036	10	246	12	17697636447				1964	Поле 246 не содержит кода подполя.
rsl01_z00.dat	012233758	11874828	11874827	17718747344	4	017	6	17718747495				1971	Поле 017 не содержит кода подполя.
rsl01_z00.dat	012993588	12656981	12656980	19005666382	11	534	13	19005666878				2046	Поле 534 не содержит кода подполя.
rsl01_z00.dat	012993707	12657124	12657123	19005971054	11	534	13	19005971605				2047	Поле 534 не содержит кода подполя.
rsl01_z00.dat	010999050	13467370	13467369	20307592781	9	044	11	20307593062				2179	Поле 044 не содержит кода подполя.
rsl01_z00.dat	013843957	13716532	13716531	20675806557	14	362	16	20675807256				2192	Поле 362 не содержит кода подполя.
rsl01_z00.dat	013896061	13787358	13787357	20795195095	3	017	5	20795195196				2194	Поле 017 не содержит кода подполя.
