file	recordId	recordNumber	recordIndex	byteOffset	fieldIndex	tag	sourceFieldNumber	fieldByteOffset	indicatorIndex	subfieldIndex	problemByteOffset	reportLine	message
rsl01_z00.dat	003437904	4396489	4396488	6213696760	25	Z30	40	6213701863				270	"Некорректный тег ""Z30""."
rsl03_z00.dat	000212948	213293	213292	209992082	18	---	31	209995208				1	"Некорректный тег ""---""."
rsl03_z00.dat	000487578	500157	500156	450232587	19	49 	25	450234686				3	"Некорректный тег ""49 ""."
rsl03_z00.dat	000590700	591372	591371	521062235	17	---	22	521063179				6	"Некорректный тег ""---""."
rsl03_z00.dat	000890237	891834	891833	767009826	16	"""50"	25	767010945				23	"Некорректный тег ""\""50""."
rsl03_z00.dat	001166707	1166848	1166847	994918161	13	 01	19	994918857				48	"Некорректный тег "" 01""."
rsl03_z00.dat	001200258	1200288	1200287	1017105490	12	QQ9	17	1017106151				356	"Некорректный тег ""QQ9""."
rsl10_z00.dat	000108201	151222	151221	74124870	11	 10	17	74125924				11	"Некорректный тег "" 10""."
rsl10_z00.dat	000237650	236716	236715	132119912	12	10	16	132121010				19	"Некорректный тег ""\u001110""."
rsl10_z00.dat	000239114	238193	238192	133624837	6	@08	12	133625220				20	"Некорректный тег ""@08""."
rsl10_z00.dat	000252834	252137	252136	147280478	11	 10	15	147281474				27	"Некорректный тег "" 10""."
rsl11_z00.dat	000073570	70314	70313	56287512	6	 --	13	56287955				3	"Некорректный тег "" --""."
rsl11_z00.dat	000116563	110098	110097	88687444	10	67 	16	88687937				5	"Некорректный тег ""67 ""."
rsl11_z00.dat	000140213	132624	132623	108184966	8	;0 	16	108185539				8	"Некорректный тег "";0 ""."
rsl11_z00.dat	000143553	135908	135907	111030113	8	---	15	111030611				9	"Некорректный тег ""---""."
rsl11_z00.dat	000185632	177848	177847	151478708	8	 01	14	151479179				19	"Некорректный тег "" 01""."
rsl11_z00.dat	000063696	195821	195820	171991778	10	;01	19	171992577				25	"Некорректный тег "";01""."
rsl11_z00.dat	000041709	205861	205860	183383319	7	Q01	14	183383776				29	"Некорректный тег ""Q01""."
rsl11_z00.dat	000239573	234033	234032	214164664	6	=:8	10	214164950				41	"Некорректный тег ""=:8""."
rsl11_z00.dat	000259897	255227	255226	237527225	8	 08	12	237527629				45	"Некорректный тег "" 08""."
rsl11_z00.dat	000275192	271037	271036	254149757	11	<K=	16	254150378				48	"Некорректный тег ""<K=""."
rsl11_z00.dat	000275194	271041	271040	254154798	10	<K=	16	254155440				49	"Некорректный тег ""<K=""."
rsl11_z00.dat	000306918	303464	303463	287574738	7	5O0	9	287575070				55	"Некорректный тег ""5O0""."
rsl11_z00.dat	000312887	309706	309705	294221809	6	5O0	8	294222064				58	"Некорректный тег ""5O0""."
rsl11_z00.dat	000155631	331491	331490	319849726	7	U5D	16	319850524				75	"Некорректный тег ""U5D""."
rsl11_z00.dat	000340622	340340	340339	331799947	10	 78	15	331800640				80	"Некорректный тег "" 78""."
